file	struct	field	zig_type	class	rust_type	evidence
src/bake/FrameworkRouter.zig	InsertionContext.VTable	getFileIdForRouter	*const fn (*anyopaque, []const u8, Route.Index, Route.FileKind) bun.OOM!OpaqueFileId	STATIC	fn(*mut (), &str, RouteIndex, FileKind) -> Result<OpaqueFileId, OOM>	FrameworkRouter.zig:978 — &wrapper.getFileIdForRouter (static fn addr)
src/bake/FrameworkRouter.zig	InsertionContext.VTable	onRouterSyntaxError	*const fn (*anyopaque, []const u8, TinyLog) bun.OOM!void	STATIC	fn(*mut (), &str, TinyLog) -> Result<(), OOM>	FrameworkRouter.zig:979 — &wrapper.onRouterSyntaxError (static fn addr)
src/bake/FrameworkRouter.zig	InsertionContext.VTable	onRouterCollisionError	*const fn (*anyopaque, []const u8, OpaqueFileId, Route.FileKind) bun.OOM!void	STATIC	fn(*mut (), &str, OpaqueFileId, FileKind) -> Result<(), OOM>	FrameworkRouter.zig:980 — &wrapper.onRouterCollisionError (static fn addr)
src/bake/bake.zig	SplitBundlerOptions	plugin	?*Plugin	FFI	Option<NonNull<Plugin>>	bake.zig:149 Plugin.create (extern JSBundlerPlugin__create); bake.zig:25 p.deinit()
src/bake/production.zig	PerThread	vm	*jsc.VirtualMachine	JSC_BORROW	&'a VirtualMachine	production.zig:950,963 — assigned from init param; deinit:974 only reads vm.global
src/boringssl_sys/boringssl.zig	struct_bignum_st	d	[*c]BN_ULONG	FFI	*mut u64	boringssl.zig:84 — extern struct mirroring C BIGNUM; managed by BN_* extern fns
src/boringssl_sys/boringssl.zig	struct_DSA_SIG_st	r	[*c]BIGNUM	FFI	*mut BIGNUM	boringssl.zig:92 — extern struct from C header; freed by DSA_SIG_free
src/boringssl_sys/boringssl.zig	struct_DSA_SIG_st	s	[*c]BIGNUM	FFI	*mut BIGNUM	boringssl.zig:93 — extern struct from C header; freed by DSA_SIG_free
src/boringssl_sys/boringssl.zig	struct_Netscape_spkac_st	pubkey	?*X509_PUBKEY	FFI	*mut X509_PUBKEY	boringssl.zig:103 — extern struct from BoringSSL C header
src/boringssl_sys/boringssl.zig	struct_Netscape_spkac_st	challenge	[*c]ASN1_IA5STRING	FFI	*mut ASN1_IA5STRING	boringssl.zig:104 — extern struct from BoringSSL C header
src/boringssl_sys/boringssl.zig	struct_X509_algor_st	algorithm	?*ASN1_OBJECT	FFI	*mut ASN1_OBJECT	boringssl.zig:108 — extern struct from BoringSSL C header
src/boringssl_sys/boringssl.zig	struct_X509_algor_st	parameter	[*c]ASN1_TYPE	FFI	*mut ASN1_TYPE	boringssl.zig:109 — extern struct from BoringSSL C header
src/boringssl_sys/boringssl.zig	struct_Netscape_spki_st	spkac	[*c]NETSCAPE_SPKAC	FFI	*mut NETSCAPE_SPKAC	boringssl.zig:113 — extern struct from BoringSSL C header
src/boringssl_sys/boringssl.zig	struct_Netscape_spki_st	sig_algor	[*c]X509_ALGOR	FFI	*mut X509_ALGOR	boringssl.zig:114 — extern struct from BoringSSL C header
src/boringssl_sys/boringssl.zig	struct_Netscape_spki_st	signature	[*c]ASN1_BIT_STRING	FFI	*mut ASN1_BIT_STRING	boringssl.zig:115 — extern struct from BoringSSL C header
src/boringssl_sys/boringssl.zig	struct_rsa_meth_st	app_data	?*anyopaque	FFI	*mut c_void	boringssl.zig:148 — extern struct vtable from C; opaque user data
src/boringssl_sys/boringssl.zig	struct_crypto_ex_data_st	sk	?*struct_stack_st_void	FFI	*mut stack_st_void	boringssl.zig:161 — extern struct from C; managed by CRYPTO_* extern fns
src/boringssl_sys/boringssl.zig	struct_dsa_st	p	[*c]BIGNUM	FFI	*mut BIGNUM	boringssl.zig:177 — extern struct from C; freed by DSA_free
src/boringssl_sys/boringssl.zig	struct_dsa_st	q	[*c]BIGNUM	FFI	*mut BIGNUM	boringssl.zig:178 — extern struct from C; freed by DSA_free
src/boringssl_sys/boringssl.zig	struct_dsa_st	g	[*c]BIGNUM	FFI	*mut BIGNUM	boringssl.zig:179 — extern struct from C; freed by DSA_free
src/boringssl_sys/boringssl.zig	struct_dsa_st	pub_key	[*c]BIGNUM	FFI	*mut BIGNUM	boringssl.zig:180 — extern struct from C; freed by DSA_free
src/boringssl_sys/boringssl.zig	struct_dsa_st	priv_key	[*c]BIGNUM	FFI	*mut BIGNUM	boringssl.zig:181 — extern struct from C; freed by DSA_free
src/boringssl_sys/boringssl.zig	struct_dsa_st	method_mont_p	[*c]BN_MONT_CTX	FFI	*mut BN_MONT_CTX	boringssl.zig:184 — extern struct from C; managed by BoringSSL
src/boringssl_sys/boringssl.zig	struct_dsa_st	method_mont_q	[*c]BN_MONT_CTX	FFI	*mut BN_MONT_CTX	boringssl.zig:185 — extern struct from C; managed by BoringSSL
src/boringssl_sys/boringssl.zig	struct_evp_pkey_st	ameth	?*const EVP_PKEY_ASN1_METHOD	FFI	*const EVP_PKEY_ASN1_METHOD	boringssl.zig:207 — extern struct from C; static method table
src/boringssl_sys/boringssl.zig	struct_evp_cipher_info_st	cipher	?*const EVP_CIPHER	FFI	*const EVP_CIPHER	boringssl.zig:213 — extern struct from C; static cipher singleton
src/boringssl_sys/boringssl.zig	struct_private_key_st	enc_algor	[*c]X509_ALGOR	FFI	*mut X509_ALGOR	boringssl.zig:219 — extern struct from BoringSSL C header
src/boringssl_sys/boringssl.zig	struct_private_key_st	enc_pkey	[*c]ASN1_OCTET_STRING	FFI	*mut ASN1_OCTET_STRING	boringssl.zig:220 — extern struct from BoringSSL C header
src/boringssl_sys/boringssl.zig	struct_private_key_st	dec_pkey	[*c]EVP_PKEY	FFI	*mut EVP_PKEY	boringssl.zig:221 — extern struct from BoringSSL C header
src/boringssl_sys/boringssl.zig	struct_X509_info_st	x509	?*X509	FFI	*mut X509	boringssl.zig:229 — extern struct from C; freed by X509_INFO_free
src/boringssl_sys/boringssl.zig	struct_X509_info_st	crl	?*X509_CRL	FFI	*mut X509_CRL	boringssl.zig:230 — extern struct from C; freed by X509_INFO_free
src/boringssl_sys/boringssl.zig	struct_X509_info_st	x_pkey	[*c]X509_PKEY	FFI	*mut X509_PKEY	boringssl.zig:231 — extern struct from C; freed by X509_INFO_free
src/boringssl_sys/boringssl.zig	struct_bn_gencb_st	arg	?*anyopaque	FFI	*mut c_void	boringssl.zig:278 — extern struct from C; opaque callback user data
src/boringssl_sys/boringssl.zig	struct_cbb_st	child	[*c]CBB	FFI	*mut CBB	boringssl.zig:296 — extern struct from C; managed by CBB_* extern fns
src/boringssl_sys/boringssl.zig	struct_ecdsa_method_st	app_data	?*anyopaque	FFI	*mut c_void	boringssl.zig:323 — extern struct vtable from C; opaque user data
src/boringssl_sys/boringssl.zig	struct_ecdsa_sig_st	r	[*c]BIGNUM	FFI	*mut BIGNUM	boringssl.zig:332 — extern struct from C; freed by ECDSA_SIG_free
src/boringssl_sys/boringssl.zig	struct_ecdsa_sig_st	s	[*c]BIGNUM	FFI	*mut BIGNUM	boringssl.zig:333 — extern struct from C; freed by ECDSA_SIG_free
src/boringssl_sys/boringssl.zig	struct_env_md_ctx_st	digest	?*const EVP_MD	FFI	*const EVP_MD	boringssl.zig:350 — extern struct from C; static digest singleton
src/boringssl_sys/boringssl.zig	struct_env_md_ctx_st	pctx	?*EVP_PKEY_CTX	FFI	*mut EVP_PKEY_CTX	boringssl.zig:352 — extern struct from C; managed by EVP_MD_CTX_* fns
src/boringssl_sys/boringssl.zig	struct_env_md_ctx_st	pctx_ops	?*const struct_evp_md_pctx_ops	FFI	*const evp_md_pctx_ops	boringssl.zig:354 — extern struct from C; static vtable
src/boringssl_sys/boringssl.zig	struct_evp_aead_ctx_st	aead	?*const EVP_AEAD	FFI	*const EVP_AEAD	boringssl.zig:364 — extern struct from C; static AEAD singleton
src/boringssl_sys/boringssl.zig	struct_evp_cipher_ctx_st	cipher	?*const EVP_CIPHER	FFI	*const EVP_CIPHER	boringssl.zig:370 — extern struct from C; static cipher singleton
src/boringssl_sys/boringssl.zig	struct_evp_cipher_ctx_st	app_data	?*anyopaque	FFI	*mut c_void	boringssl.zig:371 — extern struct from C; opaque user data
src/boringssl_sys/boringssl.zig	struct_evp_cipher_ctx_st	cipher_data	?*anyopaque	FFI	*mut c_void	boringssl.zig:372 — extern struct from C; OPENSSL_malloc'd by C
src/boringssl_sys/boringssl.zig	struct_hmac_ctx_st	md	?*const EVP_MD	FFI	*const EVP_MD	boringssl.zig:406 — extern struct from C; static digest singleton
src/boringssl_sys/boringssl.zig	struct_rsa_pss_params_st	hashAlgorithm	[*c]X509_ALGOR	FFI	*mut X509_ALGOR	boringssl.zig:427 — extern struct from BoringSSL C header
src/boringssl_sys/boringssl.zig	struct_rsa_pss_params_st	maskGenAlgorithm	[*c]X509_ALGOR	FFI	*mut X509_ALGOR	boringssl.zig:428 — extern struct from BoringSSL C header
src/boringssl_sys/boringssl.zig	struct_rsa_pss_params_st	saltLength	[*c]ASN1_INTEGER	FFI	*mut ASN1_INTEGER	boringssl.zig:429 — extern struct from BoringSSL C header
src/boringssl_sys/boringssl.zig	struct_rsa_pss_params_st	trailerField	[*c]ASN1_INTEGER	FFI	*mut ASN1_INTEGER	boringssl.zig:430 — extern struct from BoringSSL C header
src/boringssl_sys/boringssl.zig	struct_rsa_pss_params_st	maskHash	[*c]X509_ALGOR	FFI	*mut X509_ALGOR	boringssl.zig:431 — extern struct from BoringSSL C header
src/boringssl_sys/boringssl.zig	struct_ssl_early_callback_ctx	ssl	?*SSL	FFI	*mut SSL	boringssl.zig:485 — extern struct passed by C callback; borrowed from SSL
src/boringssl_sys/boringssl.zig	struct_x509_trust_st	arg2	?*anyopaque	FFI	*mut c_void	boringssl.zig:573 — extern struct from C; opaque user data
src/boringssl_sys/boringssl.zig	struct_stack_st	data	[*c]?*anyopaque	FFI	*mut *mut c_void	boringssl.zig:662 — extern struct from C; managed by sk_* extern fns
src/boringssl_sys/boringssl.zig	CRYPTO_dynlock	data	?*struct_CRYPTO_dynlock_value	FFI	*mut CRYPTO_dynlock_value	boringssl.zig:936 — extern struct from C; managed by dynlock callbacks
src/boringssl_sys/boringssl.zig	PKCS7_SIGNED	cert	?*struct_stack_st_X509	FFI	*mut stack_st_X509	boringssl.zig:1488 — extern struct from C; freed by PKCS7_free
src/boringssl_sys/boringssl.zig	PKCS7_SIGNED	crl	?*struct_stack_st_X509_CRL	FFI	*mut stack_st_X509_CRL	boringssl.zig:1489 — extern struct from C; freed by PKCS7_free
src/boringssl_sys/boringssl.zig	PKCS7_SIGN_ENVELOPE	cert	?*struct_stack_st_X509	FFI	*mut stack_st_X509	boringssl.zig:1492 — extern struct from C; freed by PKCS7_free
src/boringssl_sys/boringssl.zig	PKCS7_SIGN_ENVELOPE	crl	?*struct_stack_st_X509_CRL	FFI	*mut stack_st_X509_CRL	boringssl.zig:1493 — extern struct from C; freed by PKCS7_free
src/boringssl_sys/boringssl.zig	PKCS7	type	?*ASN1_OBJECT	FFI	*mut ASN1_OBJECT	boringssl.zig:1512 — extern struct from C; freed by PKCS7_free
src/boringssl_sys/boringssl.zig	OTHERNAME	type_id	?*ASN1_OBJECT	FFI	*mut ASN1_OBJECT	boringssl.zig:2921 — extern struct from BoringSSL C header
src/boringssl_sys/boringssl.zig	OTHERNAME	value	?*ASN1_TYPE	FFI	*mut ASN1_TYPE	boringssl.zig:2922 — extern struct from BoringSSL C header
src/boringssl_sys/boringssl.zig	ACCESS_DESCRIPTION	method	*ASN1_OBJECT	FFI	*mut ASN1_OBJECT	boringssl.zig:2958 — extern struct from BoringSSL C header
src/boringssl_sys/boringssl.zig	ACCESS_DESCRIPTION	location	*GENERAL_NAME	FFI	*mut GENERAL_NAME	boringssl.zig:2959 — extern struct from BoringSSL C header
src/boringssl_sys/boringssl.zig	struct_bio_st	method	[*c]const BIO_METHOD	FFI	*const BIO_METHOD	boringssl.zig:18773 — set by BIO_new(); static/C-allocated vtable
src/boringssl_sys/boringssl.zig	struct_bio_st	ptr	?*anyopaque	FFI	*mut c_void	boringssl.zig:18780 — opaque user data via BIO_set_data
src/boringssl_sys/boringssl.zig	struct_bio_st	next_bio	?*BIO	FFI	*mut BIO	boringssl.zig:18781 — BIO chain link; managed by BIO_push/BIO_free_all
src/brotli/brotli.zig	BrotliReaderArrayList	list_ptr	*std.ArrayListUnmanaged(u8)	BORROW_PARAM	&'a mut Vec<u8>	brotli.zig:84 — .list_ptr = list (init param); deinit:176-179 never frees it
src/brotli/brotli.zig	BrotliReaderArrayList	brotli	*BrotliDecoder	FFI	*mut brotli_sys::BrotliDecoderState	brotli.zig:74 createInstance (extern C); :177 destroyInstance in deinit
src/brotli/brotli.zig	BrotliCompressionStream	brotli	*BrotliEncoder	FFI	*mut brotli_sys::BrotliEncoderState	brotli.zig:202 createInstance (extern C); :239 destroyInstance in deinit
src/brotli/brotli.zig	BrotliCompressionStream.NewWriter(InputWriter)	compressor	*BrotliCompressionStream	BORROW_PARAM	&'a mut BrotliCompressionStream	brotli.zig:251-255 — assigned from init param; no deinit
src/bun.js.zig	Run	vm	*VirtualMachine	OWNED	Box<VirtualMachine>	bun.js.zig:180 — VirtualMachine.init() allocates; no deinit (globalExit ends process)
src/bun.zig	ThreadlocalBuffersNode	next	?*ThreadlocalBuffersNode	INTRUSIVE	Option<NonNull<ThreadlocalBuffersNode>>	src/bun.zig:361-365 — "Intrusive list node"; .next = threadlocal_buffers_head
src/bun.zig	ThreadlocalBuffersNode	free	*const fn (*ThreadlocalBuffersNode) void	STATIC	fn(*mut ThreadlocalBuffersNode)	src/bun.zig:345 — .free = free (points to static fn at :353)
src/bun.zig	HiveRef	allocator	*HiveAllocator	BORROW_PARAM	&'a mut HiveAllocator	src/bun.zig:1867-1871 — assigned from init() param; unref() uses it, never frees
src/bun_alloc/MimallocArena.zig	MimallocArena	#heap	*mimalloc.Heap	FFI	NonNull<mimalloc::mi_heap_t>	MimallocArena.zig:162 mi_heap_new(); :157 mi_heap_destroy() — owned C handle
src/bun_alloc/MimallocArena.zig	Borrowed	#heap	*mimalloc.Heap	BORROW_PARAM	&'a mimalloc::mi_heap_t	MimallocArena.zig:115-116 borrow() lends owner's heap; no deinit on Borrowed
src/bun_alloc/MimallocArena.zig	DebugHeap	inner	*mimalloc.Heap	FFI	NonNull<mimalloc::mi_heap_t>	MimallocArena.zig:165 from mi_heap_new(); :106 deinit=void (outer Self destroys it)
src/bun_alloc/allocation_scope.zig	Extra	ptr	*anyopaque	BORROW_PARAM	*mut ()	allocation_scope.zig:231,267 — passed in by caller; only read at :218; never freed
src/bun_alloc/allocation_scope.zig	Extra	vtable	?*const VTable	STATIC	Option<&'static VTable>	allocation_scope.zig:23,25 — const vtable ptr; .none = null; never allocated/freed
src/bun_alloc/allocation_scope.zig	Extra.VTable	onAllocationLeak	*const fn (*anyopaque, []u8) void	STATIC	fn(*mut (), &mut [u8])	allocation_scope.zig:28 — function pointer, inherently 'static
src/bun_alloc/allocation_scope.zig	LockedState	history	*History	BORROW_PARAM	&'a mut History	allocation_scope.zig:178-183 — from self.history.lock(); released by State.unlock
src/bun_alloc/allocation_scope.zig	AllocationScopeIn().Borrowed	#state	if (enabled) *State else void	BORROW_PARAM	&'a State	allocation_scope.zig:460 — self.#state.get() from Owned; deinit:305 doesn't free it
src/bun_alloc/allocation_scope.zig	AllocationScopeIn()	#state	if (enabled) Owned(*State) else void	OWNED	Box<State>	allocation_scope.zig:444 — .new(.init(...)); :470 — self.#state.deinit()
src/bun_alloc/bun_alloc.zig	OverflowGroup(Block)	ptrs	[4095]*Block	OWNED	[Option<Box<Block>>; 4095]	bun_alloc.zig:111 — default_allocator.create(Block); never destroyed (leaked arena)
src/bun_alloc/bun_alloc.zig	BSSList.OverflowBlock	prev	?*OverflowBlock	OWNED	Option<Box<OverflowBlock>>	bun_alloc.zig:234 — deinit: prev.deinit() then default_allocator.destroy(this)
src/bun_alloc/bun_alloc.zig	BSSList	head	*OverflowBlock	UNKNOWN	Option<NonNull<OverflowBlock>>	bun_alloc.zig:264 head=&self.tail (sibling); :292 head=heap alloc — dual semantics
src/bun_alloc/bun_alloc.zig	BSSList.Pair	value	*ValueType	ARENA	*const ValueType	bun_alloc.zig:309 — would point into backing_buf/overflow store; type unused
src/bun_alloc/bun_alloc.zig	BSSMap(store_keys=true)	map	*BSSMapType	OWNED	Box<BSSMapType>	bun_alloc.zig:706 init creates via allocator.create; :716 deinit destroys it
src/bun_core/Progress.zig	Node	context	*Progress	BACKREF	*mut Progress	Progress.zig:192-193 — self.root = Node{ .context = self }; Progress owns root Node
src/bun_core/Progress.zig	Node	parent	?*Node	BACKREF	*mut Node	Progress.zig:91 — .parent = self; child points back to creating parent Node
src/bun_core/Progress.zig	Node	recently_updated_child	?*Node	INTRUSIVE	std::sync::atomic::AtomicPtr<Node>	Progress.zig:101 — @atomicStore(&parent.recently_updated_child, self); tree link
src/bun_core/deprecated.zig	SinglyLinkedList.Node	next	?*Node	INTRUSIVE	*mut Node	deprecated.zig:64 — next link in intrusive list; insertAfter/removeNext only relink
src/bun_core/deprecated.zig	SinglyLinkedList	first	?*Node	INTRUSIVE	*mut Node	deprecated.zig:131-133 — prepend() stores caller's node; popFirst unlinks, no destroy
src/bun_core/deprecated.zig	DoublyLinkedList.Node	prev	?*Node	INTRUSIVE	*mut Node	deprecated.zig:235 — prev link in intrusive doubly-linked list
src/bun_core/deprecated.zig	DoublyLinkedList.Node	next	?*Node	INTRUSIVE	*mut Node	deprecated.zig:236 — next link in intrusive doubly-linked list
src/bun_core/deprecated.zig	DoublyLinkedList	first	?*Node	INTRUSIVE	*mut Node	deprecated.zig:326-338 — prepend() stores caller's node; no deinit/destroy
src/bun_core/deprecated.zig	DoublyLinkedList	last	?*Node	INTRUSIVE	*mut Node	deprecated.zig:370-373 — pop() unlinks and returns node; caller owns it
src/bun_core/output.zig	Source	buffered_stream	*std.Io.Writer	BORROW_FIELD	*mut io::Write (self-ref into buffered_stream_backing; replace with accessor)	src/bun_core/output.zig:77 — = &out.buffered_stream_backing.new_interface
src/bun_core/output.zig	Source	buffered_error_stream	*std.Io.Writer	BORROW_FIELD	*mut io::Write (self-ref into buffered_error_stream_backing; replace with accessor)	src/bun_core/output.zig:78 — = &out.buffered_error_stream_backing.new_interface
src/bun_core/output.zig	Source	stream	*std.Io.Writer	BORROW_FIELD	*mut io::Write (self-ref into stream_backing; replace with accessor)	src/bun_core/output.zig:82 — = &out.stream_backing.new_interface
src/bun_core/output.zig	Source	error_stream	*std.Io.Writer	BORROW_FIELD	*mut io::Write (self-ref into error_stream_backing; replace with accessor)	src/bun_core/output.zig:83 — = &out.error_stream_backing.new_interface
src/bundler/AstBuilder.zig	AstBuilder	source	*const Logger.Source	BORROW_PARAM	&'a logger::Source	AstBuilder.zig:52 — `.source = source` from init() param; no deinit
src/bundler/AstBuilder.zig	AstBuilder	current_scope	*Scope	ARENA	*mut Scope	AstBuilder.zig:42,76 — allocator.create(Scope); cursor reassigned, never freed
src/bundler/Chunk.zig	JavaScriptChunk	module_info	?*analyze_transpiled_module.ModuleInfo	OWNED	Option<Box<ModuleInfo>>	postProcessJSChunk.zig:33 create(); generateChunksInParallel.zig:365 mi.destroy()
src/bundler/Chunk.zig	CssImportOrderDebug	inner	*const CssImportOrder	BORROW_PARAM	&'a CssImportOrder	Chunk.zig:743 — assigned from `this` param in fmt(); formatter, no deinit
src/bundler/Chunk.zig	CssImportOrderDebug	ctx	*LinkerContext	BORROW_PARAM	&'a LinkerContext	Chunk.zig:744 — assigned from `ctx` param in fmt(); formatter, no deinit
src/bundler/LinkerContext.zig	LinkerContext	parse_graph	*Graph	BACKREF	*mut Graph	LinkerContext.zig:212 — this.parse_graph = &bundle.graph (bundle owns self as .linker)
src/bundler/LinkerContext.zig	LinkerContext	log	*Logger.Log	BORROW_PARAM	&'a mut Logger::Log	LinkerContext.zig:215 — this.log = bundle.transpiler.log; no deinit frees it
src/bundler/LinkerContext.zig	LinkerContext	resolver	*Resolver	BACKREF	*mut Resolver	LinkerContext.zig:217 — &bundle.transpiler.resolver (field of owning BundleV2)
src/bundler/LinkerContext.zig	LinkerContext	dev_server	?*bun.bake.DevServer	BORROW_PARAM	Option<&'a mut bake::DevServer>	bundle_v2.zig:990 — this.linker.dev_server = transpiler.options.dev_server
src/bundler/LinkerContext.zig	LinkerContext	framework	?*const bake.Framework	BACKREF	Option<*const bake::Framework>	bundle_v2.zig:942 — this.linker.framework = &this.framework.? (BundleV2 owns self)
src/bundler/LinkerContext.zig	SourceMapData.Task	ctx	*LinkerContext	BACKREF	*mut LinkerContext	LinkerContext.zig:279 — .ctx = this; Task stored in this.source_maps.*_tasks
src/bundler/LinkerContext.zig	GenerateChunkCtx	c	*LinkerContext	BORROW_PARAM	&'a mut LinkerContext	generateChunksInParallel.zig:20 — .c = c (fn param); stack-scoped ctx
src/bundler/LinkerContext.zig	GenerateChunkCtx	chunk	*Chunk	BORROW_FIELD	&'a mut Chunk	generateChunksInParallel.zig:81 — .chunk = chunk; points into self.chunks slice
src/bundler/LinkerContext.zig	PendingPartRange	ctx	*GenerateChunkCtx	BORROW_PARAM	&'a GenerateChunkCtx	generateChunksInParallel.zig:105+ — alloc'd array, .ctx = chunk_ctx from outer scope
src/bundler/LinkerContext.zig	Sorter	imports	*JSAst.NamedImports	BORROW_PARAM	&'a JSAst::NamedImports	LinkerContext.zig:2491 — .imports = &named_imports (local var); used immediately
src/bundler/LinkerGraph.zig	Iterator (local in addPartToFile)	graph	*LinkerGraph	BORROW_PARAM	&'a mut LinkerGraph	LinkerGraph.zig:140 — .graph = graph (self param of addPartToFile)
src/bundler/LinkerGraph.zig	Iterator (local in addPartToFile)	top_level_symbol_to_parts_overlay	*?*TopLevelSymbolToParts	BORROW_PARAM	&'a mut Option<&'a mut TopLevelSymbolToParts>	LinkerGraph.zig:143 — = &top_level_symbol_to_parts_overlay (stack local)
